Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Aanchal Ke Phool,(1968),135,['Drama'],5.7,6.0,Karunesh Thakur,Sajjan,Kamini Kaushal,Dev Dutt
Aandhi Aur Toofan,(1964),135,"['Action', ' Adventure', ' Romance']",6.0,8.0,Mohammed Hussain,Dara Singh,Mumtaz,Kamran
Aandhi-Toofan,(1985),144,['Drama'],6.1,49.0,Babbar Subhash,Shashi Kapoor,Hema Malini,Danny Denzongpa
Aandhiyan,(1952),136,['Drama'],7.4,30.0,Chetan Anand,Dev Anand,Nimmi,Kalpana Kartik
Aandhiyan,(1990),145,['Drama'],4.8,38.0,David Dhawan,Mumtaz,Prasenjit Chatterjee,Madhushree
Aangan,(1959),135,"['Music', ' Romance']",6.6,31.0,O.P. Dutta,Agha,Ameeta,Rehman
Aangan Ki Kali,(1979),135,"['Drama', ' Family']",5.6,5.0,Harsh Kohli,Rakesh Roshan,Lakshmi,Prema Narayan
Aani Maani,(2019),94,['Drama'],6.6,15.0,Fahim Irshad,Farrukh Seyer,Priyanka Verma,Neha Singh
Aankh Micholi,(1972),135,['Family'],6.0,6.0,Ramanna,Rakesh Roshan,Bharti,Om Prakash
Aankhen,(1950),135,"['Drama', ' Family']",7.2,6.0,Devendra Goel,Shekhar,Bharat Bhushan,Nalini Jaywant
Aankhon Aankhon Mein,(1972),154,"['Drama', ' Romance']",6.4,28.0,Raghunath Jhalani,Rakhee Gulzar,Rakesh Roshan,Achala Sachdev
Aansoo Aur Muskan,(1970),150,"['Comedy', ' Drama', ' Family']",6.5,24.0,P. Madhavan,Hema Malini,Parikshit Sahni,Jagdeep
Aao Pyaar Karen,(1964),135,"['Drama', ' Romance']",6.2,15.0,R.K. Nayyar,Joy Mukherjee,Saira Banu,Sanjeev Kumar
Aao Pyaar Karen,(1994),141,['Romance'],4.2,160.0,Ravindra Peepat,Saif Ali Khan,Shilpa Shetty Kundra,Somy Ali
Aao Wish Karein,(2009),140,"['Comedy', ' Family', ' Fantasy']",5.1,584.0,Glen Barreto,Aftab Shivdasani,Aamna Sharif,Rati Agnihotri
Aap Aye Bahaar Ayee,(1971),119,"['Comedy', ' Drama', ' Romance']",6.6,80.0,Mohan Kumar,Rajendra Kumar,Sadhana,Prem Chopra
Aap Beati,(1976),145,"['Drama', ' Family']",5.7,32.0,Mohan Kumar,Shashi Kapoor,Hema Malini,Ashok Kumar
Aap Ke Deewane,(1980),135,['Romance'],5.8,204.0,Surendra Mohan,Jeetendra,Rishi Kapoor,Tina Ambani
Aap Ke Saath,(1986),135,['Drama'],5.7,49.0,J. Om Prakash,Smita Patil,Anil Kapoor,Rati Agnihotri
Aap Ki Kasam,(1974),153,"['Romance', ' Drama']",7.0,420.0,J. Om Prakash,Rajesh Khanna,Mumtaz,Sanjeev Kumar
Aap Ki Khatir,(1977),115,"['Action', ' Comedy', ' Drama']",6.3,27.0,Sudhendu Roy,Vinod Khanna,Rekha,Nadira
Aap Ki Khatir,(2006),122,"['Comedy', ' Romance']",3.6,863.0,Dharmesh Darshan,Akshaye Khanna,Priyanka Chopra Jonas,Ameesha Patel
Aap Ki Parchhaiyan,(1964),128,"['Drama', ' Family', ' Romance']",6.3,39.0,Mohan Kumar,Dharmendra,Supriya Choudhury,Vijayalaxmi
Aap To Aise Na The,(1980),145,"['Romance', ' Drama', ' Family']",5.6,38.0,Ambrish Sangal,Raj Babbar,Ranjeeta Kaur,Deepak Parashar
Aapas Ki Baat,(1981),148,"['Action', ' Romance']",5.2,17.0,Harmesh Malhotra,Poonam Dhillon,Raj Babbar,Shakti Kapoor
Aapko Pehle Bhi Kahin Dekha Hai,(2003),145,"['Action', ' Comedy', ' Drama']",4.5,273.0,Anubhav Sinha,Priyanshu Chatterjee,Sakshi Shivanand,Farida Jalal
Aaplee Maanse,(1992),135,['Drama'],6.4,12.0,Sanjay Soorkar,Prashant Damle,Mohan Joshi,Sudhir Joshi
Aar Paar,(1985),125,['Action'],6.1,44.0,Shakti Samanta,Mithun Chakraborty,Rozina,Utpal Dutt
Aar Ya Paar,(1997),180,['Thriller'],6.1,230.0,Ketan Mehta,Jackie Shroff,Deepa Sahi,Ritu Shivpuri
Aaram,(1951),135,['Romance'],6.8,40.0,D.D. Kashyap,Dev Anand,Madhubala,Talat Mahmood
Aarop,(1974),129,['Drama'],6.7,13.0,Atma Ram,Vinod Khanna,Saira Banu,Vinod Mehra
Aar-Paar,(1954),146,"['Musical', ' Romance', ' Thriller']",6.6,250.0,Guru Dutt,Shyama,Guru Dutt,Jagdish Sethi
Aarti,(1962),156,"['Family', ' Musical', ' Romance']",6.6,67.0,Phani Majumdar,Ashok Kumar,Meena Kumari,Pradeep Kumar
Aarya,(2007),157,"['Action', ' Drama', ' Romance']",4.6,191.0,Balasekaran,Bhavana,Madhavan,Prakash Raj
Aas,(1953),135,['Romance'],5.1,13.0,Devendra Goel,Kamini Kaushal,Shekhar,Om Prakash
Aas Ka Panchhi,(1961),135,"['Family', ' Drama']",6.8,32.0,Mohan Kumar,Vyjayanthimala,Rajendra Kumar,Raj Mehra
Aas Paas,(1981),135,['Romance'],5.8,107.0,J. Om Prakash,Dharmendra,Hema Malini,Prem Chopra
Aasha,(1957),171,"['Comedy', ' Romance']",6.5,23.0,M.V. Raman,Vyjayanthimala,Kishore Kumar,Pran
Aasha,(1980),123,"['Drama', ' Musical', ' Romance']",5.3,199.0,J. Om Prakash,Jeetendra,Reena Roy,Rameshwari
Aashiana,(1986),135,['Drama'],2.6,11.0,Mahesh Bhatt,Amit Khanna,Mark Zubair,Deepti Naval
Aashik Aawara,(1993),135,['Drama'],5.2,299.0,Umesh Mehra,Saif Ali Khan,Mamta Kulkarni,Mohnish Bahl
Aashiq,(1962),150,['Romance'],6.7,64.0,Hrishikesh Mukherjee,Raj Kapoor,Padmini,Nanda
Aashiq,(2001),160,"['Action', ' Drama', ' Romance']",3.8,403.0,Indra Kumar,Bobby Deol,Karisma Kapoor,Rahul Dev
Aashiq Hoon Baharon Ka,(1977),136,['Romance'],5.5,85.0,J. Om Prakash,Rajesh Khanna,Zeenat Aman,Danny Denzongpa
Aashique Mastane,(1995),135,['Comedy'],6.2,13.0,Ajay Kashyap,Maya Alagh,Vikas Anand,Mohnish Bahl
Aashiqui.In,(2011),109,"['Drama', ' Romance']",3.7,61.0,Shankhadeep,Shubhi Ahuja,Amit Dhamija,Preeti Gandwani
Aashirwad,(1968),146,['Drama'],7.3,203.0,Hrishikesh Mukherjee,Ashok Kumar,Sanjeev Kumar,Sumita Sanyal
Aashmani Jawaharat,(2014),132,['Drama'],6.1,10.0,Sriparna Dey,Anamitra Roy,Anamitra Roy,Yovik
Aasma,(2018),105,"['Action', ' Crime', ' Drama']",5.2,8.0,Sudipto Sen,Subrat Dutta,Ameet Gaurr,Sunny Hinduja
Aasma: The Sky Is the Limit,(2009),240,['Drama'],3.8,46.0,Rohit Krishnakant Nayyar,Hrishitaa Bhatt,Seema Biswas,Nauheed Cyrusi
Aasmaan,(1984),145,"['Drama', ' Mystery']",4.8,12.0,Tony Juneja,Rajiv Kapoor,Divya Rana,Tina Ambani
Aasmaan Mahal,(1965),172,['Drama'],5.5,6.0,Khwaja Ahmad Abbas,Prithviraj Kapoor,Dilip Roy,Surekha
Aasmaan Se Gira,(1992),88,"['Adventure', ' Comedy', ' Romance']",6.8,56.0,Pankaj Parashar,Abhishek Chitlangia,Raghuvir Yadav,Anupam Kher
Aasoo Bane Angaarey,(1993),150,['Action'],4.5,88.0,Mehul Kumar,Jeetendra,Madhuri Dixit,Kiran Kumar
Aasra,(1966),161,"['Drama', ' Family']",7.2,32.0,Satyen Bose,Mala Sinha,Biswajit Chatterjee,Balraj Sahni
Aastha: In the Prison of Spring,(1997),132,['Drama'],6.4,172.0,Basu Bhattacharya,Rekha,Om Puri,Dinesh Thakur
Aatank,(1996),113,"['Action', ' Thriller']",3.9,99.0,Prem Lalwani,Desh Mukherjee,Nafisa Ali,Dharmendra
Aatank Hi Aatank,(1995),155,"['Action', ' Crime', ' Drama']",5.2,776.0,Dilip Shankar,Rajinikanth,Aamir Khan,Juhi Chawla
Aatish,(1979),139,['Action'],4.5,16.0,Ambrish Sangal,Jeetendra,Neetu Singh,Dheeraj Kumar
Aatish: Feel the Fire,(1994),155,"['Action', ' Crime', ' Drama']",5.8,735.0,Sanjay Gupta,Sanjay Dutt,Aditya Pancholi,Raveena Tandon
Aatma,(2006),107,"['Crime', ' Drama', ' Horror']",4.2,79.0,Deepak Ramsay,Kapil Jhaveri,Shabana Raza,Vikram Singh
Aatma,(2013),100,"['Drama', ' Horror', ' Thriller']",3.8,623.0,Suparn Varma,Jaideep Ahlawat,Bipasha Basu,Padam Bhola
Aavida Maa Aavide,(1998),153,"['Comedy', ' Romance']",6.4,170.0,E.V.V. Satyanarayana,Nagarjuna Akkineni,Tabu,Heera Rajgopal
Aavishkar,(1974),107,"['Drama', ' Romance']",7.0,213.0,Basu Bhattacharya,Rajesh Khanna,Sharmila Tagore,Dina Pathak
Aawaz,(1956),146,['Romance'],5.1,7.0,Zia Sarhadi,Nalini Jaywant,Nasir Hussain,Usha Kiran
Aawaz De Kahan Hai,(1990),135,"['Drama', ' Romance']",3.7,7.0,Sibte Hassan Rizvi,Bindu,Annu Kapoor,Satyendra Kapoor
Aaya Toofan,(1964),128,"['Action', ' Adventure', ' Fantasy']",6.1,14.0,Mohammed Hussain,Kedar Kapoor,Dara Singh,Helen
Aaya Toofan,(1999),111,['Action'],5.4,31.0,Deepak Balraj Vij,Mithun Chakraborty,Aditya Pancholi,Gulshan Grover
Aaye Din Bahar Ke,(1966),170,"['Musical', ' Romance']",6.6,109.0,Raghunath Jhalani,Asha Parekh,Dharmendra,Balraj Sahni
Aazaan,(2011),125,"['Action', ' Musical', ' Thriller']",4.4,346.0,Prashant Chadha,Sachiin Joshi,Candice Boucher,Arya Babbar
Aazmayish,(1995),147,"['Action', ' Drama', ' Romance']",5.0,35.0,Sachin Pilgaonkar,Sachin,Rohit Kumar Sharma,Dharmendra
Ab Ayega Mazaa,(1984),128,['Comedy'],6.6,85.0,Pankaj Parashar,Ravi Baswani,Raja Bundela,Pawan Malhotra
Ab Dilli Dur Nahin,(1957),133,['Drama'],7.6,80.0,Amar Kumar,Master Romi,Sulochana Latkar,Lala Yaqoob
Ab Hoga Dharna Unlimited,(2012),78,['Comedy'],4.0,6.0,Deepak Tanwar,Saurabh Malik,Rekha Rana,Omkar Das Manikpuri
Ab Insaf Hoga,(1995),125,"['Action', ' Drama']",4.8,32.0,Harish Shah,Rekha,Mithun Chakraborty,Deepika Amin
Ab Ke Baras,(2002),135,"['Action', ' Romance', ' Thriller']",3.3,198.0,Raj Kanwar,Arya Babbar,Amrita Rao,Ashutosh Rana
Ab Kya Hoga,(1977),135,"['Mystery', ' Thriller']",4.8,24.0,Saawan Kumar Tak,Shatrughan Sinha,Neetu Singh,Asrani
Ab Meri Baari,(1989),135,['Action'],5.1,8.0,Bhagwan Thakur,Hemant Birje,Sudhir Dalvi,Kimi Katkar
Ab To Aaja Saajan Mere,(1994),127,"['Drama', ' Romance']",4.0,6.0,Rakesh Nahata,Keshto Iqbal,Arvind Joshi,Shalini Kapoor
Ab... Bas!,(2004),137,"['Romance', ' Thriller']",3.2,74.0,Rajesh Kumar Singh,Chetanya Adeep,Shawar Ali,Arun Bakshi
Abdullah,(1980),136,"['Action', ' Drama', ' Romance']",6.4,189.0,Sanjay Khan,Raj Kapoor,Sanjay Khan,Sanjeev Kumar
Abe Hayat,(1933),135,['Drama'],2.8,10.0,Krishna Gopal,Ali Athar,Bachan,Nazir
Abe Hayat,(1955),140,"['Action', ' Adventure', ' Fantasy']",4.8,21.0,Ramanlal Desai,Prem Nath,Ameeta,Shashikala
Abhay,(1995),127,['Fantasy'],7.0,64.0,Annu Kapoor,Ankit Desai,Benjamin Gilani,Eka Lakhani
Abhi To Jee Lein,(1977),135,"['Action', ' Drama', ' Thriller']",5.4,10.0,Roshan Taneja,Jaya Bachchan,Danny Denzongpa,Simi Garewal
Abhilasha,(1968),141,"['Drama', ' Romance']",6.8,24.0,Amit Bose,Meena Kumari,Nanda,Sanjay Khan
Abhimaan,(1957),135,"['Drama', ' Family', ' Romance']",7.1,10.0,Mahesh Kaul,Ameeta,Shekhar,Chand Usmani
Abhimanyu,(1991),140,"['Crime', ' Drama', ' Musical']",7.0,326.0,Priyadarshan,Mohanlal,Shankar,Ajayan Adoor
Abhimanyu,(1989),168,"['Action', ' Comedy', ' Drama']",4.6,28.0,Tony Juneja,Anil Kapoor,Kimi Katkar,Poonam Dhillon
Abhinetri,(1970),154,"['Drama', ' Romance']",6.7,70.0,Subodh Mukherji,Shashi Kapoor,Hema Malini,Deb Mukherjee
Abhishap,(1986),135,['Drama'],7.1,8.0,Biresh Chatterjee,Ranjit Mallick,Debashree Roy,Soumitra Bannerjee
Abhishapt,(2011),135,['Drama'],7.0,6.0,Pankaj Prakash,Dilshad Patel,Vasundhara Das,Raj Vasudeva
Abodh,(1984),132,['Drama'],5.8,109.0,Hiren Nag,Tapas Pal,Madhuri Dixit,Sheela Sharma
Accident on Hill Road,(2010),105,"['Crime', ' Drama', ' Thriller']",4.0,284.0,Mahesh Nair,Farooq Shaikh,Celina Jaitly,Abhimanyu Singh
Achanak,(1973),96,"['Crime', ' Drama']",6.8,213.0,Gulzar,Vinod Khanna,Om Shivpuri,Lily Chakravarty
Achanak,(1998),160,"['Action', ' Mystery', ' Thriller']",4.0,245.0,Naresh Malhotra,Govinda,Manisha Koirala,Farha Naaz
Achha Bura,(1983),135,['Drama'],6.7,25.0,Hrishikesh Mukherjee,Amjad Khan,Ranjeet,Raj Babbar
Achhut Kanya,(1936),142,"['Drama', ' Musical', ' Romance']",6.5,114.0,Franz Osten,Devika Rani,Ashok Kumar,Monorama
Acid Factory,(2009),108,"['Action', ' Crime', ' Mystery']",5.0,677.0,Suparn Varma,Fardeen Khan,Dia Mirza,Manoj Bajpayee
Action,(2019),158,"['Action', ' Adventure', ' Thriller']",4.5,858.0,Sundar C.,Vishal,Tamannaah Bhatia,Aishwarya Lekshmi
Ada... A Way of Life,(2010),120,"['Action', ' Crime', ' Drama']",3.6,49.0,Tanvir Ahmad,Ayaan Ahmad,Ayesha Jhulka,Rahul Roy
Adalat,(1958),139,"['Drama', ' Musical', ' Romance']",6.9,36.0,Kalidas,Nargis,Pradeep Kumar,Pran
Adalat,(1976),138,"['Action', ' Drama', ' Family']",6.4,284.0,Narendra Bedi,Amitabh Bachchan,Waheeda Rehman,Neetu Singh
Adharm,(1992),135,"['Action', ' Crime', ' Drama']",5.1,66.0,Aziz Sejawal,Shatrughan Sinha,Shabana Azmi,Sanjay Dutt
Adharm,(2006),135,['Action'],5.3,11.0,Adeep Singh,Rahul Dev,Mayuri Kango,Rocky Khanna
Adhi Raat Ke Baad,(1965),137,"['Action', ' Drama', ' Mystery']",6.6,28.0,Nanabhai Bhatt,Ashok Kumar,Ragini,Sailesh Kumar
Adhikar,(1954),126,"['Comedy', ' Drama', ' Romance']",6.7,13.0,Mohan Segal,Usha Kiran,Kishore Kumar,Yashodra Katju
Adhikar,(1986),135,"['Drama', ' Family', ' Romance']",6.2,38.0,Chitrayug,Vijay Sadanah,Rajesh Khanna,Tina Ambani
Adhikar,(1971),135,['Drama'],4.9,21.0,S.M. Sagar,Ashok Kumar,Nanda,Deb Mukherjee
Adhipathi,(2001),151,"['Action', ' Drama']",5.4,533.0,Ravi Raja,Nagarjuna Akkineni,Ali,Mohan Babu
Adhura Sapna,(2007),88,['Drama'],4.7,11.0,Vimal Reddy,Tania Nazmeen Dean,Rajnel Prasad,Ratu Rakuita Tawake
Adi Shankaracharya,(1983),130,"['Biography', ' Drama']",7.3,240.0,G.V. Iyer,Sarvadaman Banerjee,M.V. Narayana Rao,Manjunath Bhatt
Adil-E-Jahangir,(1955),150,['Drama'],5.0,8.0,G.P. Sippy,Pradeep Kumar,Meena Kumari,D.K. Sapru
Adisaya Piravi,(1990),145,"['Action', ' Comedy', ' Fantasy']",6.9,335.0,S.P. Muthuraman,Rajinikanth,Chinnijayanth,Jai Ganesh
Admissions Open,(2010),135,"['Comedy', ' Drama']",3.3,51.0,K.D. Satyam,Anupam Kher,Ashish Vidyarthi,Arshi
Adrishya,(2017),106,"['Drama', ' Family', ' Horror']",3.3,102.0,Sandeep Chatterjee,Nishat Mallick,Archana Kotwal,Ravi Kumar
Adutha Varisu,(1983),122,['Drama'],5.5,76.0,S.P. Muthuraman,Rajinikanth,Sridevi,Varalakshmi S.
Adventure Kids Hindi Film,(2019),120,['Adventure'],6.6,12.0,Manoj Palrecha,Suvahhdan Angre,Neel Bakshi,Prachita Gujar
Adventures of Aladdin,(1978),151,['Adventure'],4.7,7.0,Homi Wadia,Nazneen,Jayshree T.,Raza Murad
Adventures of Ali-Baba and the Forty Thieves,(1980),153,"['Action', ' Adventure', ' Family']",6.2,506.0,Latif Faiziyev,Umesh Mehra,Dharmendra,Hema Malini
Adventures of Tarzan,(1985),135,"['Action', ' Adventure', ' Comedy']",4.6,140.0,Babbar Subhash,Kimi Katkar,Dalip Tahil,Om Shivpuri
Africadalli Sheela,(1986),134,"['Adventure', ' Thriller']",6.6,18.0,Deepak Balraj Vij,Anand Balraj,Sahila Chaddha,B.S. Dwarakish
Afsana,(1966),134,"['Drama', ' Romance']",6.5,12.0,Brij,Ashok Kumar,Pradeep Kumar,Padmini
Afsana,(1951),168,"['Drama', ' Family']",7.8,57.0,B.R. Chopra,Ashok Kumar,Veena,Jeevan
Afsana Pyar Ka,(1991),145,"['Drama', ' Romance']",5.9,783.0,M.R. Shahjahan,Aamir Khan,Neelam Kothari,Deepak Tijori
Afsar,(1950),121,"['Comedy', ' Romance']",7.1,19.0,Chetan Anand,Dev Anand,Suraiya,Ruma Guha Thakurta
After the Third Bell,(2014),92,"['Crime', ' Mystery']",6.3,43.0,Ajay Govind,Udayan Banerjee,Akanksha D. Sharma,Sukhesh Arora
Agar Tum Na Hote,(1983),161,"['Drama', ' Family']",6.4,152.0,Lekh Tandon,Rajesh Khanna,Rekha,Raj Babbar
Agar... If,(1977),135,['Drama'],6.4,27.0,Esmayeel Shroff,Amol Palekar,Zarina Wahab,Kader Khan
Agathiyar,(1972),153,"['Adventure', ' Comedy', ' Drama']",6.6,30.0,A.P. Subbaraav,T.S. Balaiah,J.P. Chandrababu,Devagi
Agent Vinod,(1977),139,"['Action', ' Crime', ' Drama']",5.7,84.0,Deepak Bahry,Mahendra Sandhu,Asha Sachdev,Iftekhar
Aggar: Passion Betrayal Terror,(2007),135,"['Romance', ' Thriller']",4.0,281.0,Ananth Narayan Mahadevan,Tusshar Kapoor,Udita Goswami,Shreyas Talpade
Aghaat,(1985),138,"['Drama', ' Crime']",7.1,120.0,Govind Nihalani,Om Puri,Bharat Gopy,Pankaj Kapur
Agnee,(1988),153,"['Action', ' Drama', ' Romance']",5.1,29.0,J. Om Prakash,Mithun Chakraborty,Chunky Panday,Amrita Singh
Agnee Morcha,(1997),142,['Action'],3.1,14.0,Raju Chouhan,Aparajita,Birbal,Dharmendra
Agneekaal,(1990),161,"['Action', ' Crime', ' Drama']",5.6,26.0,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Masum Ali,Sadashiv Amrapurkar
Agni IPS,(1997),137,['Action'],7.8,33.0,Anand P. Raju,Saroja Devi B.,Saikumar,Ranjitha
Agni Pankh,(2004),135,"['Action', ' Drama', ' Romance']",4.5,108.0,Sanjeev Puri,Jimmy Sheirgill,Sameer Dharmadhikari,Rahul Dev
Agni Pareeksha,(1981),130,"['Crime', ' Drama']",6.0,22.0,Kamal Majumdar,Amol Palekar,Parikshit Sahni,Rameshwari
Agni Rekha,(1973),135,['Drama'],7.3,9.0,Mahesh Kaul,Sanjeev Kumar,Sharada,Sajjan
Agni Sakshi,(1996),142,"['Drama', ' Musical', ' Romance']",6.1,684.0,Partho Ghosh,Jackie Shroff,Nana Patekar,Manisha Koirala
Agnichakra,(1997),123,['Action'],3.6,53.0,Ketan Anand,Amit Suryavanshi,Naseeruddin Shah,Govinda
Agniputra,(2000),140,['Action'],4.6,24.0,Vijay Reddy,Asrani,Mithun Chakraborty,Pinky Chinoy
Agnivarsha: The Fire and the Rain,(2002),126,"['Drama', ' Fantasy', ' Romance']",4.6,361.0,Arjun Sajnani,Jackie Shroff,Kumar Iyengar,Raveena Tandon
Agra Road,(1957),135,"['Comedy', ' Romance', ' Thriller']",4.8,5.0,Ravindra Dave,Shakila,Vijay Anand,Nanda
Agreement,(1980),124,"['Musical', ' Comedy', ' Drama']",6.2,19.0,Anil Ganguly,Rekha,Utpal Dutt,Shailendra Singh
Agyaat,(2009),130,"['Drama', ' Horror', ' Mystery']",2.9,620.0,Ram Gopal Varma,Nithiin,Priyanka Kothari,Rasika Dugal
Ahaan,(2019),81,"['Comedy', ' Drama']",7.2,213.0,Nikhil Pherwani,Arif Zakaria,Niharika Singh,Abuli Mamaji
Ahankaar,(1995),145,['Drama'],5.9,53.0,Ashim S. Samanta,Mithun Chakraborty,Mamta Kulkarni,Prem Chopra
Ahinsa,(1979),103,"['Action', ' Drama']",4.1,10.0,Chand,Sunil Dutt,Rekha,Ranjeet
Ahista Ahista,(1981),141,"['Musical', ' Romance']",7.0,45.0,Esmayeel Shroff,Parveen Babi,Suresh Chatwal,Aruna Irani
Ahsaas,(1979),144,"['Drama', ' Romance']",5.7,38.0,Surindara Suri,Shashi Kapoor,Simi Garewal,Rakesh Bedi
Aisa Kyon Hota Hai?,(2006),135,"['Action', ' Crime', ' Drama']",3.9,21.0,Ajay Kanchan,Rati Agnihotri,Amit,Gopi Bhalla
Aisa Pyar Kahan,(1986),135,"['Drama', ' Romance']",6.3,36.0,Vijay Sadanah,Jeetendra,Jaya Prada,Mithun Chakraborty
Aisa Yeh Jahaan,(2015),120,['Drama'],6.6,52.0,Biswajeet Bora,Yashpal Sharma,Ira Dubey,Tinnu Anand
Aisaa Kyon,(2003),135,['Thriller'],3.7,7.0,B.B. Singh,Ramesh Bhatkar,Sunil Dhawan,Avtar Gill
Aisi Bhi Kya Jaldi Hai,(1996),132,"['Comedy', ' Romance']",6.6,68.0,Sachin Pilgaonkar,Sachin,Sachin Pilgaonkar,Vivek Mushran
Aisi Deewangi,(2009),125,"['Action', ' Comedy', ' Drama']",4.1,7.0,Abdul Qayyoom Khan,Sarvar Ahuja,Preeti Arora,Pankaj Berry
Aitbaar,(1985),133,"['Romance', ' Thriller']",6.9,149.0,Mukul Anand,Raj Babbar,Dimple Kapadia,Danny Denzongpa
Ajab Gazabb Love,(2012),116,"['Comedy', ' Romance']",4.2,520.0,Sanjay Gadhvi,Jackky Bhagnani,Nidhi Subbaiah,Darshan Jariwala
Ajab Singh Ki Gajab Kahani,(2017),115,['Drama'],5.8,52.0,Rishi Prakash Mishra,Ajay Kumar Singh,Vikas Giri,Rajesh Jais
Ajanabee,(1974),139,"['Drama', ' Romance']",6.5,174.0,Shakti Samanta,Rajesh Khanna,Zeenat Aman,Prem Chopra
Ajay,(1996),146,"['Action', ' Drama', ' Romance']",3.7,187.0,Suneel Darshan,Sunny Deol,Karisma Kapoor,Reena Roy
Ajeeb Dastaan Hai Yeh,(1992),135,['Drama'],4.7,11.0,J. Om Prakash,Vikas Anand,Neelima Azim,Rita Bhaduri
Ajeeb Itefaq,(1989),135,"['Crime', ' Mystery', ' Thriller']",5.5,12.0,Jyoti Sarup,Navin Nischol,Mohan Gokhale,Vijayendra Ghatge
Aji Bas Shukriya,(1958),135,"['Comedy', ' Drama', ' Musical']",6.1,11.0,Mohammed Hussain,Geeta Bali,Suresh,Johnny Walker
Ajji,(2017),104,['Drama'],6.9,973.0,Devashish Makhija,Sushama Deshpande,Smita Tambe,Sharvani Suryavanshi
Ajnabi Saaya,(1998),135,['Horror'],2.7,9.0,Prasun Banerjee,Kishore Anand Bhanushali,Sulabha Deshpande,Bharat Kapoor
Ajooba Kudrat Ka,(1991),135,"['Action', ' Adventure', ' Fantasy']",4.8,29.0,Shyam Ramsay,Tulsi Ramsay,Hemant Birje,Manjeet Kular
AK 47,(2004),125,"['Action', ' Thriller']",5.0,39.0,Raam Shetty,Aditya,Sheetal Bavishi,Om Puri
Akalmand,(1984),135,"['Comedy', ' Romance', ' Thriller']",5.7,40.0,N.S. Raj Bharath,Ashok Kumar,Jeetendra,Sridevi
Akalmand,(1966),135,['Comedy'],7.4,5.0,Sev Anand,I.S. Johar,Kishore Kumar,Sonia Sahni
Akarshan,(1988),135,['Romance'],4.8,26.0,Tanvir Ahmed,Akbar Khan,Sonu Walia,Girish Karnad
Akashdeep,(1965),136,['Drama'],6.6,32.0,Phani Majumdar,Dharmendra,Mehmood,Ashok Kumar
Akayla,(1991),180,"['Action', ' Drama', ' Thriller']",5.0,421.0,Ramesh Sippy,Amitabh Bachchan,Jackie Shroff,Amrita Singh
Akbar Saleem Anarkali,(1979),139,"['Drama', ' History', ' Musical']",7.7,38.0,N.T. Rama Rao,N.T. Rama Rao,Nandamuri Balakrishna,Unni Mary
Akela the Alone,(2014),58,['Thriller'],5.5,10.0,Abrar,Adil Ahamad,Roman Ajaz,Casim Bilal
Akeli,(1999),165,['Romance'],5.6,11.0,Vinod Pande,Perena Agarwal,Nandini Ghosal,Brij Gopal
Akeli Mat Jaiyo,(1963),135,"['Comedy', ' Romance']",6.3,21.0,Nandlal Jaswantlal,Meena Kumari,Rajendra Kumar,Agha
Akhiyon Se Goli Maare,(2002),146,"['Comedy', ' Romance']",5.1,881.0,Harmesh Malhotra,Govinda,Raveena Tandon,Kader Khan
Akhri Muqabla,(1989),132,"['Action', ' Drama']",5.3,13.0,Sudesh Issar,Shashi Kapoor,Rajan Sippy,Suresh Oberoi
Aksar 2,(2017),127,"['Crime', ' Drama', ' Mystery']",3.6,417.0,Ananth Narayan Mahadevan,Zareen Khan,Gautam Rode,Lillete Dubey
Alaap,(1977),160,"['Drama', ' Musical']",6.7,327.0,Hrishikesh Mukherjee,Amitabh Bachchan,Rekha,Chhayadevi
Aladdin and the Wonderful Lamp,(1952),144,"['Adventure', ' Fantasy']",5.9,15.0,Homi Wadia,Mahipal,Meena Kumari,S.N. Tripathi
Alag Alag,(1985),174,"['Family', ' Musical', ' Romance']",6.4,86.0,Shakti Samanta,Rajesh Khanna,Shashi Kapoor,Tina Ambani
Alajh Palajh,(2019),136,['Comedy'],6.9,7.0,Uttar Kumar,Vikas Balian,Usha Devi,Monu Dhankad
Alakh Niranjan,(1975),135,['Fantasy'],7.4,22.0,Babubhai Mistry,N.T. Rama Rao,Vanisri,Ramakrishna
Alam Ara,(1973),124,['Drama'],6.8,8.0,Nanubhoy Vakil,Nazima,Ajit Sachdev,Paidi Jairaj
Alavuddinum Athbutha Vilakkum,(1979),144,"['Adventure', ' Drama', ' Fantasy']",6.6,161.0,I.V. Sasi,Kamal Haasan,Rajinikanth,Jayabharati
Albela,(2001),145,"['Comedy', ' Drama', ' Romance']",3.7,737.0,Deepak Sareen,Govinda,Aishwarya Rai Bachchan,Jackie Shroff
Albela,(1951),158,"['Comedy', ' Drama', ' Musical']",7.0,82.0,Master Bhagwan,Geeta Bali,Master Bhagwan,Badri Prasad
Albela,(1971),135,['Drama'],6.0,6.0,A. Shamsheer,Mehmood,Aruna Irani,Rajendranath Malhotra
Albert Pinto Ko Gussa Kyon Ata Hai,(1980),110,"['Comedy', ' Drama', ' Romance']",7.5,428.0,Saeed Akhtar Mirza,Naseeruddin Shah,Shabana Azmi,Smita Patil
Albert Pinto Ko Gussa Kyun Aata Hai?,(2019),100,['Drama'],5.5,349.0,Soumitra Ranade,Manav Kaul,Nandita Das,Amarjeet Amle
